Cluster Size, Frequency
1, 2407120
2, 1206030
3, 781833
4, 562793
5, 429467
6, 340644
7, 276680
8, 229815
9, 194787
10, 167617
11, 145148
12, 127423
13, 112288
14, 100468
15, 89808
16, 80701
17, 73821
18, 66758
19, 61064
20, 56089
21, 52291
22, 47869
23, 44709
24, 40994
25, 38329
26, 36082
27, 33562
28, 32058
29, 30183
30, 27829
31, 26405
32, 25254
33, 23573
34, 22520
35, 21339
36, 20478
37, 19325
38, 18597
39, 17548
40, 16955
41, 16044
42, 15526
43, 14812
44, 14264
45, 13365
46, 12890
47, 12447
48, 11954
49, 11619
50, 11288
51, 10827
52, 10227
53, 9731
54, 9667
55, 9475
56, 9079
57, 8549
58, 8454
59, 8258
60, 7919
61, 7599
62, 7420
63, 7135
64, 7082
65, 6720
66, 6453
67, 6349
68, 6293
69, 5998
70, 5948
71, 5587
72, 5594
73, 5333
74, 5370
75, 5175
76, 5011
77, 4829
78, 4823
79, 4610
80, 4508
81, 4388
82, 4224
83, 4157
84, 4128
85, 3969
86, 3945
87, 3753
88, 3694
89, 3598
90, 3498
91, 3495
92, 3338
93, 3205
94, 3243
95, 3206
96, 2963
97, 3067
98, 3020
99, 2929
100, 2796
101, 2805
102, 2775
103, 2626
104, 2676
105, 2626
106, 2512
107, 2515
108, 2449
109, 2437
110, 2377
111, 2369
112, 2316
113, 2267
114, 2087
115, 2175
116, 2120
117, 2038
118, 2096
119, 1980
120, 1864
121, 1854
122, 1848
123, 1904
124, 1850
125, 1761
126, 1743
127, 1659
128, 1693
129, 1721
130, 1697
131, 1617
132, 1619
133, 1598
134, 1517
135, 1569
136, 1538
137, 1548
138, 1404
139, 1460
140, 1366
141, 1398
142, 1397
143, 1426
144, 1292
145, 1337
146, 1364
147, 1296
148, 1276
149, 1257
150, 1242
151, 1175
152, 1248
153, 1138
154, 1199
155, 1171
156, 1148
157, 1082
158, 1140
159, 1085
160, 1060
161, 1083
162, 991
163, 1023
164, 1048
165, 994
166, 1005
167, 981
168, 956
169, 884
170, 927
171, 944
172, 895
173, 834
174, 927
175, 929
176, 831
177, 901
178, 848
179, 831
180, 766
181, 791
182, 835
183, 804
184, 769
185, 793
186, 811
187, 755
188, 728
189, 728
190, 783
191, 722
192, 741
193, 673
194, 689
195, 722
196, 660
197, 680
198, 670
199, 680
200, 663
201, 643
202, 647
203, 583
204, 621
205, 640
206, 586
207, 649
208, 596
209, 571
210, 586
211, 579
212, 542
213, 581
214, 576
215, 547
216, 580
217, 521
218, 525
219, 550
220, 527
221, 533
222, 541
223, 520
224, 488
225, 452
226, 517
227, 472
228, 498
229, 452
230, 497
231, 431
232, 498
233, 475
234, 478
235, 442
236, 479
237, 445
238, 445
239, 425
240, 410
241, 406
242, 416
243, 417
244, 404
245, 411
246, 381
247, 403
248, 391
249, 425
250, 411
251, 416
252, 394
253, 357
254, 370
255, 394
256, 360
257, 370
258, 359
259, 336
260, 342
261, 358
262, 381
263, 358
264, 308
265, 347
266, 328
267, 374
268, 320
269, 319
270, 339
271, 332
272, 325
273, 302
274, 312
275, 325
276, 326
277, 308
278, 313
279, 330
280, 307
281, 287
282, 318
283, 288
284, 302
285, 300
286, 275
287, 281
288, 282
289, 322
290, 293
